siteId,siteName,address,City,State,latitude,longitude
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB","Coimbatore,Tamil Nadu",Coimbatore,Tamil Nadu,10.942451,76.978996
site_5261,"Muradpur, Patna - BSPCB","Patna,Bihar",Patna,Bihar,25.619651,85.147382
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB","Dharuhera,Haryana",Dharuhera,Haryana,28.2068,76.7997
site_5072,"Rishi Nagar, Kaithal - HSPCB","Kaithal,Haryana",Kaithal,Haryana,29.8006,76.4155
site_163,"Peenya, Bengaluru - CPCB","Bengaluru,Karnataka",Bengaluru,Karnataka,13.0270199,77.494094
site_5613,"Transport Nagar, Moradabad - UPPCB","Moradabad,Uttar Pradesh",Moradabad,Uttar Pradesh,28.802625,78.753728
site_5123,"Sector-1, Noida - UPPCB","Noida,Uttar Pradesh",Noida,Uttar Pradesh,28.5898,77.3101
site_1433,"Bandhavgar Colony, Satna - Birla Cement","Satna,Madhya Pradesh",Satna,Madhya Pradesh,24.58434363,80.8549414
site_5413,"Mulund West, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.175,72.9419
site_5050,"Shyam Nagar, Palwal - HSPCB","Palwal ,Haryana",Palwal ,Haryana,28.1485564,77.3320667
site_5448,"B.Katihalli, Hassan - KSPCB","Hassan,Karnataka",Hassan,Karnataka,13.008556,76.125258
site_5590,"Zero Point GICI, Gangtok - SSPCB","Gangtok,Sikkim",Gangtok,ric,27.33853,88.614099
site_5396,"Deonar, Mumbai - IITM","Mumbai,Maharashtra",Mumbai,Maharashtra,19.04946,72.923
site_274,"Ghusuri, Howrah - WBPCB","Howrah,West Bengal",Howrah,West Bengal,22.611968,88.347422
site_5055,"General Hospital, Mandikhera - HSPCB","Mandikhera,Haryana",Mandikhera,Haryana,27.9002,76.9938
site_5057,"Urban Estate-II, Hisar - HSPCB","Hisar,Haryana",Hisar,Haryana,29.14056,75.744941
site_5066,"Sector-10, Gandhinagar - GPCB","Gandhinagar,Gujarat",Gandhinagar,Gujarat,23.221714,72.654328
site_5060,"Nathu Colony, Ballabgarh - HSPCB","Ballabgarh,Haryana",Ballabgarh,Haryana,28.3419248,77.319699
site_5065,"GIDC, Ankleshwar - GPCB","Ankleshwar,Gujarat",Ankleshwar,Gujarat,21.613267,73.010555
site_5067,"Phase-4 GIDC, Vatva - GPCB","Vatva,Gujarat",Vatva,Gujarat,22.969611,72.6435
site_5068,"Sahilara, Maihar - KJS Cements","Maihar,Madhya Pradesh",Maihar,Madhya Pradesh,24.2613009,80.7231783
site_5071,"Phase-1 GIDC, Vapi - GPCB","Vapi,Gujarat",Vapi,Gujarat,20.362421,72.918013
site_5073,"Railway Colony, Guwahati - PCBA","Guwahati,Assam",Guwahati,Assam,26.181742,91.78063
site_275,"IDA Pashamylaram, Hyderabad - TSPCB","Hyderabad,Telangana",Hyderabad,Telangana,17.5316895,78.218939
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB","Ghaziabad,Uttar Pradesh",Ghaziabad,Uttar Pradesh,28.685382,77.453839
site_5082,"Indirapuram, Ghaziabad - UPPCB","Ghaziabad,Uttar Pradesh",Ghaziabad,Uttar Pradesh,28.646233,77.358075
site_5083,"Loni, Ghaziabad - UPPCB","Ghaziabad,Uttar Pradesh",Ghaziabad,Uttar Pradesh,28.757294,77.278792
site_5101,"Belur Math, Howrah - WBPCB","Howrah,West Bengal",Howrah,West Bengal,22.629801,88.352017
site_5102,"Vasai West, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.3832,72.8204
site_5103,"Nerul, Navi Mumbai - MPCB","Navi Mumbai,Maharashtra",Navi Mumbai,Maharashtra,19.008751,73.01662
site_5104,"Kurla, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.0863,72.8888
site_5105,"Udyogamandal, Eloor - Kerala PCB","Eloor,Kerala",Eloor,Kerala,10.073232,76.302765
site_5106,"Vile Parle West, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.10861,72.83622
site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.10078,72.87462
site_276,"Nehru Nagar, Kanpur - UPPCB","Kanpur,Uttar Pradesh",Kanpur,Uttar Pradesh,26.4703136,80.3229863
site_5109,"Jai Bhim Nagar, Meerut - UPPCB","Meerut,Uttar Pradesh",Meerut,Uttar Pradesh,28.9535882,77.7622941
site_5110,"Fort William, Kolkata - WBPCB","Kolkata,West Bengal",Kolkata,West Bengal,22.55664,88.342674
site_5111,"Jadavpur, Kolkata - WBPCB","Kolkata,West Bengal",Kolkata,West Bengal,22.49929,88.36917
site_5112,"Powai, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.1375,72.915056
site_5113,"Borivali East, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.2243333,72.8658113
site_5114,"Mahape, Navi Mumbai - MPCB","Navi Mumbai,Maharashtra",Navi Mumbai,Maharashtra,19.1135051,73.008978
site_5118,"Khadakpada, Kalyan - MPCB","Kalyan,Maharashtra",Kalyan,Maharashtra,19.25292,73.142019
site_5119,"Sion, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,19.047,72.8746
site_5120,"Colaba, Mumbai - MPCB","Mumbai,Maharashtra",Mumbai,Maharashtra,18.91,72.82
site_5121,"Knowledge Park - V, Greater Noida - UPPCB","Greater Noida,Uttar Pradesh",Greater Noida,Uttar Pradesh,28.557054,77.453663
site_277,"Lalbagh, Lucknow - CPCB","Lucknow,Uttar Pradesh",Lucknow,Uttar Pradesh,26.8458805,80.9365541
site_5122,"Sector-116, Noida - UPPCB","Noida,Uttar Pradesh",Noida,Uttar Pradesh,28.56923,77.393848
site_5125,"Hebbal 1st Stage, Mysuru - KSPCB","Mysuru,Karnataka",Mysuru,Karnataka,12.21041,76.37376
site_5126,"Rabindra Sarobar, Kolkata - WBPCB","Kolkata,West Bengal",Kolkata,West Bengal,22.51106,88.35142
site_5127,"Sector-25, Chandigarh - CPCC","Chandigarh,Chandigarh",Chandigarh,Chandigarh,30.751462,76.762879
site_5128,"Gomti Nagar, Lucknow - UPPCB","Lucknow,Uttar Pradesh",Lucknow,Uttar Pradesh,26.86812,81.005119
site_5129,"Bidhannagar, Kolkata - WBPCB","Kolkata,West Bengal",Kolkata,West Bengal,22.58157048,88.41002457
site_5238,"Ballygunge, Kolkata - WBPCB","Kolkata,West Bengal",Kolkata,West Bengal,22.5367507,88.3638022
